Iteration 56, Temperature 53733.55, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 54.91 seconds
Iteration 57, Temperature 51046.87, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 55.85 seconds
Iteration 58, Temperature 48494.53, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 56.80 seconds
Iteration 59, Temperature 46069.80, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 57.74 seconds
Iteration 60, Temperature 43766.31, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 58.68 seconds
Iteration 61, Temperature 41577.99, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 59.62 seconds
Iteration 62, Temperature 39499.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 60.56 seconds
Iteration 63, Temperature 37524.14, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 61.50 seconds
Iteration 64, Temperature 35647.93, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 62.45 seconds
Iteration 65, Temperature 33865.54, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 63.48 seconds
Iteration 66, Temperature 32172.26, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 64.45 seconds
Iteration 67, Temperature 30563.65, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 65.56 seconds
Iteration 68, Temperature 29035.46, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 66.58 seconds
Iteration 69, Temperature 27583.69, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 67.52 seconds
Iteration 70, Temperature 26204.51, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 68.49 seconds
Iteration 71, Temperature 24894.28, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 69.43 seconds
Iteration 72, Temperature 23649.57, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 70.39 seconds
Iteration 73, Temperature 22467.09, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 71.35 seconds
Iteration 74, Temperature 21343.73, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 72.29 seconds
Iteration 75, Temperature 20276.55, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 73.25 seconds
Iteration 76, Temperature 19262.72, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 74.20 seconds
Iteration 77, Temperature 18299.58, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 75.16 seconds
Iteration 78, Temperature 17384.60, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 76.12 seconds
Iteration 79, Temperature 16515.37, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 77.07 seconds
Iteration 80, Temperature 15689.61, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 78.04 seconds
Iteration 81, Temperature 14905.13, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 78.99 seconds
Iteration 82, Temperature 14159.87, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 79.94 seconds
Iteration 83, Temperature 13451.88, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 80.89 seconds
Iteration 84, Temperature 12779.28, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 81.84 seconds
Iteration 85, Temperature 12140.32, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 82.80 seconds
Iteration 86, Temperature 11533.30, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 83.74 seconds
Iteration 87, Temperature 10956.64, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 84.69 seconds
Iteration 88, Temperature 10408.80, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 85.64 seconds
Iteration 89, Temperature 9888.36, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 86.58 seconds
Iteration 90, Temperature 9393.95, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 87.52 seconds
Iteration 91, Temperature 8924.25, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 88.47 seconds
Iteration 92, Temperature 8478.04, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 89.43 seconds
Iteration 93, Temperature 8054.13, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 90.39 seconds
Iteration 94, Temperature 7651.43, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 91.34 seconds
Iteration 95, Temperature 7268.86, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 92.29 seconds
Iteration 96, Temperature 6905.41, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 93.23 seconds
Iteration 97, Temperature 6560.14, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 94.18 seconds
Iteration 98, Temperature 6232.14, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 95.14 seconds
Iteration 99, Temperature 5920.53, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 96.10 seconds
Iteration 100, Temperature 5624.50, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 97.24 seconds
Iteration 101, Temperature 5343.28, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 98.26 seconds
Iteration 102, Temperature 5076.11, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 99.22 seconds
Iteration 103, Temperature 4822.31, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 100.17 seconds
Iteration 104, Temperature 4581.19, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 101.13 seconds
Iteration 105, Temperature 4352.13, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 102.07 seconds
Iteration 106, Temperature 4134.53, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 103.02 seconds
Iteration 107, Temperature 3927.80, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 103.97 seconds
Iteration 108, Temperature 3731.41, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 104.93 seconds
Iteration 109, Temperature 3544.84, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 105.88 seconds
Iteration 110, Temperature 3367.60, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 106.83 seconds
Iteration 111, Temperature 3199.22, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 107.78 seconds
Iteration 112, Temperature 3039.26, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 108.73 seconds
Iteration 113, Temperature 2887.29, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 109.68 seconds
Iteration 114, Temperature 2742.93, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 110.63 seconds
Iteration 115, Temperature 2605.78, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 111.59 seconds
Iteration 116, Temperature 2475.49, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 112.54 seconds
Iteration 117, Temperature 2351.72, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 113.49 seconds
Iteration 118, Temperature 2234.13, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 114.44 seconds
Iteration 119, Temperature 2122.43, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 115.38 seconds
Iteration 120, Temperature 2016.31, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 116.33 seconds
Iteration 121, Temperature 1915.49, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 117.28 seconds
Iteration 122, Temperature 1819.72, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 118.24 seconds
Iteration 123, Temperature 1728.73, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 119.19 seconds
Iteration 124, Temperature 1642.29, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 120.14 seconds
Iteration 125, Temperature 1560.18, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 121.09 seconds
Iteration 126, Temperature 1482.17, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 122.04 seconds
Iteration 127, Temperature 1408.06, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 122.99 seconds
Iteration 128, Temperature 1337.66, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 123.94 seconds
Iteration 129, Temperature 1270.78, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 124.89 seconds
Iteration 130, Temperature 1207.24, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 125.85 seconds
Iteration 131, Temperature 1146.87, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 126.81 seconds
Iteration 132, Temperature 1089.53, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 127.78 seconds
Iteration 133, Temperature 1035.05, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 128.92 seconds
Iteration 134, Temperature 983.30, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 129.91 seconds
Iteration 135, Temperature 934.14, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 130.89 seconds
Iteration 136, Temperature 887.43, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 131.84 seconds
Iteration 137, Temperature 843.06, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 132.80 seconds
Iteration 138, Temperature 800.91, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 133.74 seconds
Iteration 139, Temperature 760.86, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 134.69 seconds
Iteration 140, Temperature 722.82, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 135.64 seconds
Iteration 141, Temperature 686.68, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 136.60 seconds
Iteration 142, Temperature 652.34, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 137.55 seconds
Iteration 143, Temperature 619.73, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 138.50 seconds
Iteration 144, Temperature 588.74, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 139.45 seconds
Iteration 145, Temperature 559.30, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 140.40 seconds
Iteration 146, Temperature 531.34, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 141.34 seconds
Iteration 147, Temperature 504.77, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 142.30 seconds
Iteration 148, Temperature 479.53, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 143.25 seconds
Iteration 149, Temperature 455.55, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 144.20 seconds
Iteration 150, Temperature 432.78, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 145.16 seconds
Iteration 151, Temperature 411.14, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 146.11 seconds
Iteration 152, Temperature 390.58, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 147.07 seconds
Iteration 153, Temperature 371.05, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 148.03 seconds
Iteration 154, Temperature 352.50, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 148.98 seconds
Iteration 155, Temperature 334.87, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 149.93 seconds
Iteration 156, Temperature 318.13, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 150.87 seconds
Iteration 157, Temperature 302.22, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 151.82 seconds
Iteration 158, Temperature 287.11, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 152.78 seconds
Iteration 159, Temperature 272.76, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 153.73 seconds
Iteration 160, Temperature 259.12, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 154.69 seconds
Iteration 161, Temperature 246.16, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 155.64 seconds
Iteration 162, Temperature 233.86, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 156.59 seconds
Iteration 163, Temperature 222.16, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 157.54 seconds
Iteration 164, Temperature 211.05, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 158.49 seconds
Iteration 165, Temperature 200.50, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 159.46 seconds
Iteration 166, Temperature 190.48, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 160.43 seconds
Iteration 167, Temperature 180.95, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 161.55 seconds
Iteration 168, Temperature 171.91, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 162.58 seconds
Iteration 169, Temperature 163.31, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 163.54 seconds
Iteration 170, Temperature 155.14, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 164.49 seconds
Iteration 171, Temperature 147.39, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 165.44 seconds
Iteration 172, Temperature 140.02, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 166.39 seconds
Iteration 173, Temperature 133.02, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 167.34 seconds
Iteration 174, Temperature 126.37, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 168.30 seconds
