Iteration 46, Temperature 3117626.97, New Cost 54400583.0, Current Cost 53423659.00, Best Cost 41395607.00, Elapsed Time 46.83 seconds
Iteration 47, Temperature 3086450.70, New Cost 54400583.0, Current Cost 54400583.00, Best Cost 41395607.00, Elapsed Time 47.88 seconds
Iteration 48, Temperature 3055586.20, New Cost 55358702.0, Current Cost 54400583.00, Best Cost 41395607.00, Elapsed Time 48.92 seconds
Iteration 49, Temperature 3025030.34, New Cost 53400583.0, Current Cost 53400583.00, Best Cost 41395607.00, Elapsed Time 49.96 seconds
Iteration 50, Temperature 2994780.03, New Cost 52400583.0, Current Cost 52400583.00, Best Cost 41395607.00, Elapsed Time 51.00 seconds
Iteration 51, Temperature 2964832.23, New Cost 53400583.0, Current Cost 52400583.00, Best Cost 41395607.00, Elapsed Time 52.05 seconds
Iteration 52, Temperature 2935183.91, New Cost 53400583.0, Current Cost 52400583.00, Best Cost 41395607.00, Elapsed Time 53.08 seconds
Iteration 53, Temperature 2905832.07, New Cost 53400583.0, Current Cost 53400583.00, Best Cost 41395607.00, Elapsed Time 54.10 seconds
Iteration 54, Temperature 2876773.75, New Cost 54400583.0, Current Cost 54400583.00, Best Cost 41395607.00, Elapsed Time 55.13 seconds
Iteration 55, Temperature 2848006.01, New Cost 53400583.0, Current Cost 53400583.00, Best Cost 41395607.00, Elapsed Time 56.16 seconds
Iteration 56, Temperature 2819525.95, New Cost 52400583.0, Current Cost 52400583.00, Best Cost 41395607.00, Elapsed Time 57.19 seconds
Iteration 57, Temperature 2791330.69, New Cost 51400583.0, Current Cost 51400583.00, Best Cost 41395607.00, Elapsed Time 58.20 seconds
Iteration 58, Temperature 2763417.39, New Cost 50400583.0, Current Cost 50400583.00, Best Cost 41395607.00, Elapsed Time 59.20 seconds
Iteration 59, Temperature 2735783.21, New Cost 51358702.0, Current Cost 51358702.00, Best Cost 41395607.00, Elapsed Time 60.22 seconds
Iteration 60, Temperature 2708425.38, New Cost 52358702.0, Current Cost 52358702.00, Best Cost 41395607.00, Elapsed Time 61.24 seconds
Iteration 61, Temperature 2681341.13, New Cost 53358702.0, Current Cost 53358702.00, Best Cost 41395607.00, Elapsed Time 62.26 seconds
Iteration 62, Temperature 2654527.71, New Cost 54358702.0, Current Cost 54358702.00, Best Cost 41395607.00, Elapsed Time 63.29 seconds
Iteration 63, Temperature 2627982.44, New Cost 53358702.0, Current Cost 53358702.00, Best Cost 41395607.00, Elapsed Time 64.33 seconds
Iteration 64, Temperature 2601702.61, New Cost 54358702.0, Current Cost 54358702.00, Best Cost 41395607.00, Elapsed Time 65.34 seconds
Iteration 65, Temperature 2575685.59, New Cost 53358702.0, Current Cost 53358702.00, Best Cost 41395607.00, Elapsed Time 66.37 seconds
Iteration 66, Temperature 2549928.73, New Cost 52358702.0, Current Cost 52358702.00, Best Cost 41395607.00, Elapsed Time 67.38 seconds
Iteration 67, Temperature 2524429.44, New Cost 51358702.0, Current Cost 51358702.00, Best Cost 41395607.00, Elapsed Time 68.40 seconds
