Iteration 0, Temperature 4950000.00, New Cost 59707975.0, Current Cost 59707975.00, Best Cost 59707975.00, Elapsed Time 0.93 seconds
Iteration 1, Temperature 4900500.00, New Cost 56733676.0, Current Cost 56733676.00, Best Cost 56733676.00, Elapsed Time 1.86 seconds
Iteration 2, Temperature 4851495.00, New Cost 53847743.0, Current Cost 53847743.00, Best Cost 53847743.00, Elapsed Time 2.79 seconds
Iteration 3, Temperature 4802980.05, New Cost 56807561.0, Current Cost 56807561.00, Best Cost 53847743.00, Elapsed Time 3.73 seconds
Iteration 4, Temperature 4754950.25, New Cost 61509220.0, Current Cost 61509220.00, Best Cost 53847743.00, Elapsed Time 4.67 seconds
Iteration 5, Temperature 4707400.75, New Cost 65980226.0, Current Cost 65980226.00, Best Cost 53847743.00, Elapsed Time 5.61 seconds
Iteration 6, Temperature 4660326.74, New Cost 70688054.0, Current Cost 70688054.00, Best Cost 53847743.00, Elapsed Time 6.57 seconds
Iteration 7, Temperature 4613723.47, New Cost 75623484.0, Current Cost 70688054.00, Best Cost 53847743.00, Elapsed Time 7.53 seconds
Iteration 8, Temperature 4567586.24, New Cost 75262579.0, Current Cost 70688054.00, Best Cost 53847743.00, Elapsed Time 8.49 seconds
Iteration 9, Temperature 4521910.38, New Cost 75525433.0, Current Cost 75525433.00, Best Cost 53847743.00, Elapsed Time 9.44 seconds
Iteration 10, Temperature 4476691.27, New Cost 80471134.0, Current Cost 75525433.00, Best Cost 53847743.00, Elapsed Time 10.42 seconds
Iteration 11, Temperature 4431924.36, New Cost 80187350.0, Current Cost 75525433.00, Best Cost 53847743.00, Elapsed Time 11.40 seconds
Iteration 12, Temperature 4387605.11, New Cost 80525433.0, Current Cost 75525433.00, Best Cost 53847743.00, Elapsed Time 12.36 seconds
Iteration 13, Temperature 4343729.06, New Cost 80503497.0, Current Cost 75525433.00, Best Cost 53847743.00, Elapsed Time 13.36 seconds
Iteration 14, Temperature 4300291.77, New Cost 80287350.0, Current Cost 80287350.00, Best Cost 53847743.00, Elapsed Time 14.32 seconds
Iteration 15, Temperature 4257288.86, New Cost 85287350.0, Current Cost 80287350.00, Best Cost 53847743.00, Elapsed Time 15.30 seconds
Iteration 16, Temperature 4214715.97, New Cost 85287350.0, Current Cost 85287350.00, Best Cost 53847743.00, Elapsed Time 16.25 seconds
Iteration 17, Temperature 4172568.81, New Cost 89528367.0, Current Cost 85287350.00, Best Cost 53847743.00, Elapsed Time 17.22 seconds
Iteration 18, Temperature 4130843.12, New Cost 80325433.0, Current Cost 80325433.00, Best Cost 53847743.00, Elapsed Time 18.17 seconds
Iteration 19, Temperature 4089534.69, New Cost 85325433.0, Current Cost 80325433.00, Best Cost 53847743.00, Elapsed Time 19.13 seconds
Iteration 20, Temperature 4048639.34, New Cost 76124911.0, Current Cost 76124911.00, Best Cost 53847743.00, Elapsed Time 20.09 seconds
Iteration 21, Temperature 4008152.95, New Cost 80547295.0, Current Cost 80547295.00, Best Cost 53847743.00, Elapsed Time 21.06 seconds
Iteration 22, Temperature 3968071.42, New Cost 75547295.0, Current Cost 75547295.00, Best Cost 53847743.00, Elapsed Time 22.21 seconds
Iteration 23, Temperature 3928390.70, New Cost 80401754.0, Current Cost 75547295.00, Best Cost 53847743.00, Elapsed Time 23.26 seconds
Iteration 24, Temperature 3889106.80, New Cost 80431516.0, Current Cost 80431516.00, Best Cost 53847743.00, Elapsed Time 24.22 seconds
Iteration 25, Temperature 3850215.73, New Cost 75856326.0, Current Cost 75856326.00, Best Cost 53847743.00, Elapsed Time 25.18 seconds
Iteration 26, Temperature 3811713.57, New Cost 80856326.0, Current Cost 75856326.00, Best Cost 53847743.00, Elapsed Time 26.14 seconds
Iteration 27, Temperature 3773596.44, New Cost 80100409.0, Current Cost 80100409.00, Best Cost 53847743.00, Elapsed Time 27.10 seconds
Iteration 28, Temperature 3735860.47, New Cost 85054679.0, Current Cost 85054679.00, Best Cost 53847743.00, Elapsed Time 28.08 seconds
Iteration 29, Temperature 3698501.87, New Cost 80054679.0, Current Cost 80054679.00, Best Cost 53847743.00, Elapsed Time 29.04 seconds
Iteration 30, Temperature 3661516.85, New Cost 84685224.0, Current Cost 80054679.00, Best Cost 53847743.00, Elapsed Time 30.02 seconds
Iteration 31, Temperature 3624901.68, New Cost 85054679.0, Current Cost 85054679.00, Best Cost 53847743.00, Elapsed Time 31.00 seconds
Iteration 32, Temperature 3588652.66, New Cost 89704679.0, Current Cost 85054679.00, Best Cost 53847743.00, Elapsed Time 32.00 seconds
Iteration 33, Temperature 3552766.14, New Cost 89426065.0, Current Cost 85054679.00, Best Cost 53847743.00, Elapsed Time 32.97 seconds
Iteration 34, Temperature 3517238.47, New Cost 90034231.0, Current Cost 85054679.00, Best Cost 53847743.00, Elapsed Time 33.95 seconds
Iteration 35, Temperature 3482066.09, New Cost 89704679.0, Current Cost 85054679.00, Best Cost 53847743.00, Elapsed Time 34.93 seconds
Iteration 36, Temperature 3447245.43, New Cost 89860454.0, Current Cost 85054679.00, Best Cost 53847743.00, Elapsed Time 35.90 seconds
